Question,Answer,Difficulty,Subject_id
0 + 0,0,0,1
1 + 0,1,0,1
2 + 0,2,0,1
3 + 0,3,0,1
4 + 0,4,0,1
5 + 0,5,0,1
6 + 0,6,0,1
7 + 0,7,0,1
8 + 0,8,0,1
9 + 0,9,0,1
10 + 0,10,1,1
0 + 1,1,0,1
1 + 1,2,0,1
2 + 1,3,0,1
3 + 1,4,0,1
4 + 1,5,0,1
5 + 1,6,0,1
6 + 1,7,0,1
7 + 1,8,0,1
8 + 1,9,0,1
9 + 1,10,1,1
10 + 1,11,1,1
0 + 2,2,0,1
1 + 2,3,0,1
2 + 2,4,0,1
3 + 2,5,0,1
4 + 2,6,0,1
5 + 2,7,0,1
6 + 2,8,0,1
7 + 2,9,0,1
8 + 2,10,1,1
9 + 2,11,1,1
10 + 2,12,1,1
0 + 3,3,0,1
1 + 3,4,0,1
2 + 3,5,0,1
3 + 3,6,1,1
4 + 3,7,1,1
5 + 3,8,1,1
6 + 3,9,1,1
7 + 3,10,1,1
8 + 3,11,1,1
9 + 3,12,1,1
10 + 3,13,1,1
0 + 4,4,0,1
1 + 4,5,0,1
2 + 4,6,0,1
3 + 4,7,1,1
4 + 4,8,1,1
5 + 4,9,1,1
6 + 4,10,1,1
7 + 4,11,1,1
8 + 4,12,1,1
9 + 4,13,1,1
10 + 4,14,1,1
0 + 5,5,0,1
1 + 5,6,0,1
2 + 5,7,0,1
3 + 5,8,1,1
4 + 5,9,1,1
5 + 5,10,1,1
6 + 5,11,1,1
7 + 5,12,2,1
8 + 5,13,2,1
9 + 5,14,2,1
10 + 5,15,2,1
0 + 6,6,1,1
1 + 6,7,1,1
2 + 6,8,1,1
3 + 6,9,1,1
4 + 6,10,1,1
5 + 6,11,2,1
6 + 6,12,2,1
7 + 6,13,2,1
8 + 6,14,2,1
9 + 6,15,2,1
10 + 6,16,2,1
0 + 7,7,1,1
1 + 7,8,1,1
2 + 7,9,1,1
3 + 7,10,1,1
4 + 7,11,1,1
5 + 7,12,2,1
6 + 7,13,2,1
7 + 7,14,2,1
8 + 7,15,2,1
9 + 7,16,2,1
10 + 7,17,2,1
0 + 8,8,1,1
1 + 8,9,1,1
2 + 8,10,1,1
3 + 8,11,1,1
4 + 8,12,1,1
5 + 8,13,2,1
6 + 8,14,2,1
7 + 8,15,2,1
8 + 8,16,2,1
9 + 8,17,2,1
10 + 8,18,2,1
0 + 9,9,1,1
1 + 9,10,1,1
2 + 9,11,1,1
3 + 9,12,1,1
4 + 9,13,1,1
5 + 9,14,2,1
6 + 9,15,2,1
7 + 9,16,2,1
8 + 9,17,2,1
9 + 9,18,2,1
10 + 9,19,2,1
0 + 10,10,1,1
1 + 10,11,1,1
2 + 10,12,1,1
3 + 10,13,1,1
4 + 10,14,1,1
5 + 10,15,1,1
6 + 10,16,2,1
7 + 10,17,2,1
8 + 10,18,2,1
9 + 10,19,2,1
10 + 10,20,2,1
0 x 0,0,0,3
1 x 0,0,0,3
2 x 0,0,0,3
3 x 0,0,0,3
4 x 0,0,0,3
5 x 0,0,0,3
6 x 0,0,0,3
7 x 0,0,0,3
8 x 0,0,0,3
9 x 0,0,0,3
10 x 0,0,0,3
0 x 1,0,0,3
1 x 1,1,0,3
2 x 1,2,0,3
3 x 1,3,0,3
4 x 1,4,0,3
5 x 1,5,0,3
6 x 1,6,0,3
7 x 1,7,0,3
8 x 1,8,0,3
9 x 1,9,0,3
10 x 1,10,0,3
0 x 2,0,0,3
1 x 2,2,0,3
2 x 2,4,1,3
3 x 2,6,1,3
4 x 2,8,1,3
5 x 2,10,1,3
6 x 2,12,1,3
7 x 2,14,1,3
8 x 2,16,1,3
9 x 2,18,1,3
10 x 2,20,1,3
0 x 3,0,1,3
1 x 3,3,1,3
